Lane,Sample.ID
10071_8#15,Gen-0015
10349_1#31,ERL072973
10349_1#4,ERL024120                     
10349_1#60,ERL103914
10349_1#69,ERL114000
10349_1#84,Ty2
10349_1#86,SGB87
10349_1#87,E98-2068
10349_1#88,SGB89
10349_1#89,SGB90 
10349_1#90,404ty
10349_1#91,E02-275
10349_1#95,Vie8_04_N
10425_1#10,M223
10425_1#60,ty1-35
10540_1#4,SGB114
10561_2#30,H12ESR00394-001A
10561_2#47,SGB113       
10607_2#1,1035759
10607_2#10,1003117
10607_2#11,BKQ1GA
10607_2#12,1007000
10607_2#13,BHA1P5
10607_2#14,BKQ2KZ
10607_2#15,BKQ4SJ
10607_2#17,BKQ4NZ
10607_2#18,BKQ2H5
10607_2#19,BHA2HH
10607_2#2,BKQ4CF
10607_2#20,1003078
10607_2#21,D56675
10607_2#22,A59204
10607_2#23,BHA2QL
10607_2#24,BKQ4H1
10607_2#25,1038377
10607_2#26,1037921
10607_2#27,BKQ4E3
10607_2#28,D55055
10607_2#29,D56393
10607_2#3,A57501
10607_2#30,A58452
10607_2#32,A59217
10607_2#33,A58450
10607_2#34,D54782
10607_2#35,BKQ4JU
10607_2#36,1036491
10607_2#37,1036143
10607_2#38,BKQ4D9
10607_2#4,A58372
10607_2#40,A58390
10607_2#41,A59307
10607_2#5,1005624
10607_2#6,1003108
10607_2#7,BKQ22S
10607_2#8,1004971
10607_2#9,1006099
22522_8#1,BKQJY1
22522_8#10,BKQKA6
22522_8#100,BKQNFB
22522_8#101,BKQNBY
22522_8#102,BKQN9J
22522_8#103,BHADDR
22522_8#104,BKQMQU
22522_8#105,BHADPK
22522_8#106,BKQMME
22522_8#107,BHADQ1
22522_8#108,BKQNI9
22522_8#109,BKQNTP
22522_8#11,BKQKKD
22522_8#110,BHAD4E
22522_8#111,BKQMXD
22522_8#112,BHAE16
22522_8#113,BHADR6
22522_8#114,BHAEB1
22522_8#115,BKQN8F
22522_8#116,BKQN7E
22522_8#117,BKQN6F
22522_8#118,BHAE1U
22522_8#119,BHAE20
22522_8#12,BKQK2L
22522_8#120,BKQN73
22522_8#121,BKQMVB
22522_8#122,BHADS5
22522_8#123,BHAE1S
22522_8#124,BKQPCB
22522_8#125,BKQP41
22522_8#126,BHAE40
22522_8#127,BKQP3Q
22522_8#128,BHAEDM
22522_8#129,BKQPIJ
22522_8#13,BKQKBS
22522_8#130,BKQPF0
22522_8#131,BHAEET
22522_8#132,BKQPPJ
22522_8#133,BKQPF2
22522_8#134,BHAEF6
22522_8#135,NA
22522_8#136,BHADX1
22522_8#137,BKQPUF
22522_8#138,BKQPRE
22522_8#139,BKQPU8
22522_8#14,BKQKC9
22522_8#140,BHAEFY
22522_8#141,BHAEG1
22522_8#142,BHADXM
22522_8#143,BKQQ4E
22522_8#144,BKQPWL
22522_8#145,BKQPX1
22522_8#146,BKQQ6A
22522_8#147,BHAEHJ
22522_8#148,BHAEIJ
22522_8#149,BHAESY
22522_8#15,BKQK31
22522_8#150,BKQQ1Y
22522_8#151,BKQQX4
22522_8#152,BHAEUN
22522_8#153,BKQQHC
22522_8#154,BKQR8G
22522_8#155,BKQPZL
22522_8#156,BHAEWA
22522_8#157,BKQQYB
22522_8#158,BKQQPG
22522_8#159,BHAF2E
22522_8#16,BKQKMH
22522_8#160,BKQQY6
22522_8#161,BKQQR3
22522_8#162,BKQQQF
